Key	PublTitle	Year	Title	Volumne	Number	DOI	Authors
"journals/tvcg/RavivE01"	"Interactive Direct Rendering of Trivariate B-Spline Scalar Functions."	"2001"	"IEEE Trans. Vis. Comput. Graph."	"7"	"2"	"https://doi.org/10.1109/2945.928164"	"Alon Raviv;Gershon Elber"
"journals/tvcg/RayPSC99"	"Ray Casting Architectures for Volume Visualization."	"1999"	"IEEE Trans. Vis. Comput. Graph."	"5"	"3"	"https://doi.org/10.1109/2945.795213"	"Harvey Ray;Hanspeter Pfister;Deborah Silver;Todd A. Cook"
"journals/tvcg/RaynorCBSSD23"	"The State of the Art in BGP Visualization Tools: A Mapping of Visualization Techniques to Cyberattack Types."	"2023"	"IEEE Trans. Vis. Comput. Graph."	"29"	"1"	"https://doi.org/10.1109/TVCG.2022.3209412"	"Justin Raynor;Tarik Crnovrsanin;Sara Di Bartolomeo;Laura South;David Saffo;Cody Dunne"
"journals/tvcg/ReachN19"	"Smooth, Efficient, and Interruptible Zooming and Panning."	"2019"	"IEEE Trans. Vis. Comput. Graph."	"25"	"2"	"https://doi.org/10.1109/TVCG.2018.2800013"	"Andrew McCaleb Reach;Chris North 0001"
"journals/tvcg/ReckziegelCSJ18"	"Predominance Tag Maps."	"2018"	"IEEE Trans. Vis. Comput. Graph."	"24"	"6"	"https://doi.org/10.1109/TVCG.2018.2816208"	"Martin Reckziegel;Muhammad Faisal Cheema;Gerik Scheuermann;Stefan Jänicke"
"journals/tvcg/ReckziegelPHJ20"	"Modeling How Humans Judge Dot-Label Relations in Point Cloud Visualizations."	"2020"	"IEEE Trans. Vis. Comput. Graph."	"26"	"6"	"https://doi.org/10.1109/TVCG.2020.2970509"	"Martin Reckziegel;Linda Pfeiffer;Christian Heine 0002;Stefan Jänicke"
"journals/tvcg/RedaS21"	"Rainbows Revisited: Modeling Effective Colormap Design for Graphical Inference."	"2021"	"IEEE Trans. Vis. Comput. Graph."	"27"	"2"	"https://doi.org/10.1109/TVCG.2020.3030439"	"Khairi Reda;Danielle Albers Szafir"
"journals/tvcg/ReesLBDSM21"	"AgentVis: Visual Analysis of Agent Behavior With Hierarchical Glyphs."	"2021"	"IEEE Trans. Vis. Comput. Graph."	"27"	"9"	"https://doi.org/10.1109/TVCG.2020.2985923"	"Dylan Rees;Robert S. Laramee;Paul Brookes;Tony D'Cruze;Gary A. Smith;Aslam Miah"
"journals/tvcg/ReganM17"	"The Problem of Persistence with Rotating Displays."	"2017"	"IEEE Trans. Vis. Comput. Graph."	"23"	"4"	"https://doi.org/10.1109/TVCG.2017.2656979"	"Matthew J. P. Regan;Gavin S. P. Miller"
"journals/tvcg/RehGKGH13"	"MObjects-A Novel Method for the Visualization and Interactive Exploration of Defects in Industrial XCT Data."	"2013"	"IEEE Trans. Vis. Comput. Graph."	"19"	"12"	"https://doi.org/10.1109/TVCG.2013.177"	"Andreas Reh;Christian Gusenbauer;Johann Kastner;M. Eduard Gröller;Christoph Heinzl"
"journals/tvcg/ReichS12"	"Analysis of Streamline Separation at Infinity Using Time-Discrete Markov Chains."	"2012"	"IEEE Trans. Vis. Comput. Graph."	"18"	"12"	"https://doi.org/10.1109/TVCG.2012.198"	"Wieland Reich;Gerik Scheuermann"
"journals/tvcg/ReichherzerCWKB18"	"Narrative and Spatial Memory for Jury Viewings in a Reconstructed Virtual Environment."	"2018"	"IEEE Trans. Vis. Comput. Graph."	"24"	"11"	"https://doi.org/10.1109/TVCG.2018.2868569"	"Carolin Reichherzer;Andrew Cunningham;James A. Walsh;Mark Kohler;Mark Billinghurst;Bruce H. Thomas"
