vispub_doi,aminer_id,method
10.1109/visual.1996.567752,539087dd20f70186a0d62845,doi
10.1109/tvcg.2013.132,5390be6620f70186a0f4bba6,doi
10.1109/vast.2014.7042477,556fd6282401b4b38c238357,doi
10.1109/visual.2004.46,558a60b484ae84d265bd3f6f,doi
10.1109/tvcg.2016.2598898,58437713ac44360f1082cc27,doi
10.1109/tvcg.2020.3030376,5f9a94e0d4150a363c9d4fd9,doi
10.1109/infvis.2004.70,5390979920f70186a0e010bc,doi
10.1109/tvcg.2010.179,5390ada620f70186a0ec24c2,doi
10.1109/tvcg.2011.209,5390b20120f70186a0ee506e,doi
10.1109/tvcg.2011.161,5390b20120f70186a0ee507d,doi
10.1109/vast.2012.6400533,5390bae520f70186a0f3b1b4,doi
10.1109/vast.2016.7883508,599c7c2d601a182cd2790e20,doi
10.1109/tvcg.2017.2745278,59ae0cda0cf284510fa8b3f2,doi
10.1109/tvcg.2019.2934283,5d5e685ded7e9c792654978f,doi
10.1109/tvcg.2021.3114851,611239b15244ab9dcb32d960,doi
10.1109/visual.2002.1183828,539089ab20f70186a0d96b76,doi
10.1109/visual.1993.398858,5390958a20f70186a0def770,doi
10.1109/visual.1996.568108,53e9b67db7602d97041e6a4a,doi
10.1109/tvcg.2016.2598869,58437713ac44360f1082cc33,doi
10.1109/tvcg.2012.228,53e9ba84b7602d97046a76f5,doi
10.1109/tvcg.2024.3456143,66e0d5b701d2a3fbfc92be5e,doi
10.1109/tvcg.2010.131,5390ada620f70186a0ec24ca,doi
10.1109/tvcg.2011.201,5390b20120f70186a0ee5049,doi
10.1109/tvcg.2017.2745180,59ae0cda0cf284510fa8b3f7,doi
10.1109/tvcg.2019.2934655,5d63ae47ed7e9c7926557db5,doi
10.1109/visual.1996.568145,539087dd20f70186a0d62ab7,doi
10.1109/visual.1997.663868,539087e620f70186a0d6754f,doi
10.1109/scivis.2015.7429492,573698876e3b12023e746184,doi
10.1109/tvcg.2023.3326592,64b76c6a3fda6d7f068ee1c3,doi
