,DOI,AuthorName-Deduped,PositionNumber,PositionCode,OriginalAffiliation,CleanedAffiliation,Country
1994,10.1109/TVCG.2009.168,Gregory Cipriano,1,F,"Department of Computer Science, University of Wisconsin, Madison, USA","University of Wisconsin, Madison, USA",USA
1995,10.1109/TVCG.2009.168,George N. Phillips Jr.,2,M,"Department of Computer Science, University of Wisconsin, Madison, USA","University of Wisconsin, Madison, USA",USA
1996,10.1109/TVCG.2009.168,Michael Gleicher,3,L,"Department of Computer Science, University of Wisconsin, Madison, USA","University of Wisconsin, Madison, USA",USA
1997,10.1109/TVCG.2009.169,Timo Ropinski,1,F,"Visualization and Computer Graphics Research Group (VisCG), University of Münster, Germany","University of Münster, Germany",Germany
1998,10.1109/TVCG.2009.169,Sven Hermann,2,M,"University of Münster, Germany","University of Münster, Germany",Germany
1999,10.1109/TVCG.2009.169,Rainer Reich,3,M,"Visualization and Computer Graphics Research Group (VisCG), University of Münster, Germany","University of Münster, Germany",Germany
2000,10.1109/TVCG.2009.169,Michael Schäfers 0001,4,M,"European Institute of Molecular Imaging, Germany","University of Münster, Germany",Germany
2001,10.1109/TVCG.2009.169,Klaus H. Hinrichs,5,L,"Visualization and Computer Graphics Research Group (VisCG), University of Münster, Germany","University of Münster, Germany",Germany
2002,10.1109/TVCG.2009.170,Ralph Brecheisen,1,F,"Technical University Eindhoven, Netherlands","Eindhoven University of Technology, The Netherlands",The Netherlands
2003,10.1109/TVCG.2009.170,Anna Vilanova,2,M,"Maastricht Medical Center, Netherlands","Eindhoven University of Technology, The Netherlands",The Netherlands
2004,10.1109/TVCG.2009.170,Bram Platel,3,M,"Technical University Eindhoven, Netherlands","Eindhoven University of Technology, The Netherlands",The Netherlands
2005,10.1109/TVCG.2009.170,Bart M. ter Haar Romeny,4,L,"Technical University Eindhoven, Netherlands","Eindhoven University of Technology, The Netherlands",The Netherlands
2006,10.1109/TVCG.2009.171,Fernanda B. Viégas,1,F,"IBM Research, USA","IBM Research, USA",USA
2007,10.1109/TVCG.2009.171,Martin Wattenberg,2,M,"IBM Research, USA","IBM Research, USA",USA
2008,10.1109/TVCG.2009.171,Jonathan Feinberg,3,L,"IBM Research, USA","IBM Research, USA",USA
2009,10.1109/TVCG.2009.172,Ming-Yuen Chan,1,F,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
2010,10.1109/TVCG.2009.172,Yingcai Wu,2,M,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
2011,10.1109/TVCG.2009.172,Wai-Ho Mak,3,M,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
2012,10.1109/TVCG.2009.172,Wei Chen 0001,4,M,"State Key Laboratory of CAD&CG, University of Zhejiang, China","Zhejiang University,China",China
2013,10.1109/TVCG.2009.172,Huamin Qu,5,L,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, China",China
2014,10.1109/TVCG.2009.173,Benjamin Schindler,1,F,"ETH, Institute of Visual Computing, Zurich, Switzerland","ETH Zurich, Switzerland",Switzerland
2015,10.1109/TVCG.2009.173,Raphael Fuchs,2,M,"ETH, Institute of Visual Computing, Zurich, Switzerland","ETH Zurich, Switzerland",Switzerland
2016,10.1109/TVCG.2009.173,John Biddiscombe,3,M,"Swiss National Supercomputing Centre, Manno, Switzerland","Swiss National Supercomputing Centre, Switzerland",Switzerland
