Paper DOI,Author Names
10.1109/tvcg.2018.2824822,Patrick Riehmann
10.1109/tvcg.2018.2824822,Dora Kiesel
10.1109/tvcg.2018.2824822,Martin Kohlhaas
10.1109/tvcg.2018.2824822,Bernd Froehlich 0001
10.1109/tvcg.2017.2682865,David Graham Harrison
10.1109/tvcg.2017.2682865,Nicholas D. Efford
10.1109/tvcg.2017.2682865,Quentin J. Fisher
10.1109/tvcg.2017.2682865,Roy A. Ruddle
10.1109/tvcg.2011.279,Heidi Lam
10.1109/tvcg.2011.279,Enrico Bertini
10.1109/tvcg.2011.279,Petra Isenberg
10.1109/tvcg.2011.279,Catherine Plaisant
10.1109/tvcg.2011.279,Sheelagh Carpendale
10.1109/mcg.2016.48,Kenneth Moreland
10.1109/mcg.2016.48,Christopher M. Sewell
10.1109/mcg.2016.48,William Usher 0001
10.1109/mcg.2016.48,Li-Ta Lo
10.1109/mcg.2016.48,Jeremy S. Meredith
10.1109/mcg.2016.48,David Pugmire
10.1109/mcg.2016.48,James Kress
10.1109/mcg.2016.48,Hendrik A. Schroots
10.1109/mcg.2016.48,Kwan-Liu Ma
10.1109/mcg.2016.48,Hank Childs
10.1109/mcg.2016.48,Matthew Larsen
10.1109/mcg.2016.48,Chun-Ming Chen
10.1109/mcg.2016.48,Robert Maynard
10.1109/mcg.2016.48,Berk Geveci
10.1109/tvcg.2018.2830759,Florian Windhager
